@relation 'Attribute DataSet-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R3-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-Llast-weka.filters.unsupervised.attribute.Remove-R14-15'

@attribute Style {Sexy,Casual,vintage,Brief,cute,bohemian,Novelty,Flare,party,sexy,work,OL,fashion}
@attribute Price {Low,High,Average,Medium,very-high,low,high}
@attribute Rating {0-2.5,2.5-5}
@attribute Size {M,L,XL,free,S,small,s}
@attribute Season {Summer,Automn,Spring,Winter,spring,winter,summer,Autumn}
@attribute NeckLine {o-neck,v-neck,boat-neck,peterpan-collor,ruffled,turndowncollor,slash-neck,mandarin-collor,open,sqare-collor,Sweetheart,sweetheart,Scoop,halter,backless,bowneck,NULL}
@attribute SleeveLength {sleevless,Petal,full,butterfly,short,threequarter,halfsleeve,cap-sleeves,turndowncollor,threequater,capsleeves,sleeveless,sleeevless,half,urndowncollor,thressqatar,NULL,sleveless}
@attribute waiseline {empire,natural,null,princess,dropped}
@attribute Material {null,microfiber,polyster,silk,chiffonfabric,cotton,nylon,other,milksilk,linen,rayon,lycra,mix,acrylic,spandex,lace,modal,cashmere,viscos,knitting,sill,wool,model,shiffon}
@attribute FabricType {chiffon,null,broadcloth,jersey,other,batik,satin,flannael,worsted,woolen,poplin,dobby,knitting,flannel,tulle,sattin,organza,lace,Corduroy,wollen,knitted,shiffon,terry}
@attribute Decoration {ruffles,null,embroidary,bow,lace,beading,sashes,hollowout,pockets,sequined,applique,button,Tiered,rivet,feathers,flowers,pearls,pleat,crystal,ruched,draped,tassel,plain,none,cascading}
@attribute 'Pattern Type' {animal,print,dot,solid,null,patchwork,striped,geometric,plaid,leopard,floral,character,splice,leapord,none}
@attribute Recommendation {Yes,No}

@data
Sexy,Low,2.5-5,M,Summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal,No
Casual,Low,0-2.5,L,Summer,o-neck,Petal,natural,microfiber,null,ruffles,animal,Yes
vintage,High,0-2.5,L,Automn,o-neck,full,natural,polyster,null,null,print,Yes
Brief,Average,2.5-5,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,No
cute,Low,2.5-5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,Yes
bohemian,Low,0-2.5,M,Summer,v-neck,sleevless,empire,null,null,null,print,Yes
Casual,Average,0-2.5,XL,Summer,o-neck,full,null,cotton,null,null,solid,Yes
Novelty,Average,0-2.5,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,null,Yes
Flare,Average,0-2.5,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,No
bohemian,Low,0-2.5,free,Summer,v-neck,sleevless,natural,nylon,chiffon,null,null,No
party,Average,2.5-5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,Yes
Flare,Average,0-2.5,free,Spring,v-neck,short,null,nylon,null,null,animal,Yes
sexy,Low,2.5-5,M,Winter,o-neck,threequarter,null,null,chiffon,lace,print,No
vintage,Average,2.5-5,M,Summer,o-neck,short,empire,cotton,jersey,null,animal,No
Casual,Low,2.5-5,M,Summer,boat-neck,short,null,cotton,null,sashes,solid,Yes
Casual,Low,0-2.5,free,Winter,boat-neck,full,null,other,other,lace,null,Yes
cute,Average,2.5-5,L,spring,o-neck,short,null,cotton,null,sashes,solid,No
bohemian,Medium,2.5-5,free,Automn,o-neck,full,natural,null,null,hollowout,patchwork,No
Brief,Average,0-2.5,M,Winter,peterpan-collor,threequarter,natural,cotton,null,null,patchwork,Yes
Sexy,Average,2.5-5,M,Automn,o-neck,sleevless,empire,milksilk,null,null,null,No
Sexy,Average,2.5-5,L,Automn,o-neck,full,null,cotton,null,beading,solid,Yes
Casual,Low,2.5-5,M,Summer,o-neck,sleevless,natural,null,chiffon,null,solid,Yes
Brief,Low,2.5-5,XL,Summer,v-neck,short,natural,cotton,null,pockets,solid,Yes
Sexy,Average,2.5-5,S,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid,No
